no,name,address,data_type,data_range,unit,note,register_type,inverter_family,source_version,address_start,address_end,scale_factor
76,MPPT 11 voltage,5134,U16,,V,,3X,String,V1.1.66,5134,5134,0.1
77,MPPT 11 current,5135,U16,,A,,3X,String,V1.1.66,5135,5135,0.1
78,MPPT 12 voltage,5136,U16,,V,,3X,String,V1.1.66,5136,5136,0.1
79,MPPT 12 current,5137,U16,,A,,3X,String,V1.1.66,5137,5137,0.1
80,Reserved,5138-5139,U16,,,,3X,String,V1.1.66,5138,5139,1.0
81,Work status1,5140,U16,0 : standby 1 : running 2 : Derating 3 : quota 4 : scheduled outage 5 : limit outage 6 : error outage,,Xinjiang power grid requirements Valid for inverters: SG5-25KTL_M SG125HV SG33-50CX SG100-136TX SG80—110HV-M SG225-350HX SG320HX-20 SG85BF SG80KTL-M RT Series,3X,String,V1.1.66,5140,5140,1.0
82,Work status2,5141,U16,1 : running 2 : shut down 3 : overhaul 4 : standby,,Valid for inverters: SG5-25KTL_M SG125HV SG33-50CX SG100-136TX SG80—110HV-M SG225-350HX SG320HX-20 SG85BF SG80KTL-M RT Series SG3.0/4.0/5.0/6.0/8.0/9.0/10RS- L,3X,String,V1.1.66,5141,5141,1.0
84,Heart Beat,5143,U16,,,,3X,String,V1.1.66,5143,5143,1.0
85,Total power yields,5144-5145,U32,,kWh,(Display accuracy increased to 0.1kWh) Valid for inverters: SG5KTL-MT SG6KTL-MT SG8KTL-M SG10KTL-M SG10KTL-MT SG12KTL-M SG15KTL-M SG17KTL-M SG20KTL-M RT Series SG80KTL-M SG111HV SG125HV SG125HV-20 SG33CX SG40CX SG50CX SG110CX SG30CX SG36CX-US SG60CX-US SG49.5CX-JP SG25CX-SA SG100CX SG75CX SG225-350HX SG320HX-20 SG125CX-P2 SG110CX-P2 SG75CX-P2 SG25/30/33/36/40/50CX-P2 SG150CX SG3.0/4.0/5.0/6.0/8.0/9.0/10RS-L SG15/20/25CX-P2-LV,3X,String,V1.1.66,5144,5145,0.1
86,Negative voltage to the ground,5146,S16,-15000~15000,V,Except SG5.5RS-JP,3X,String,V1.1.66,5146,5146,0.1
87,Bus voltage,5147,U16,0 - 15000,V,,3X,String,V1.1.66,5147,5147,0.1
88,Grid frequency,5148,U16,,Hz,(Display accuracy increased to 0.01Hz) Valid for inverters: SG5KTL-MT SG6KTL-MT SG8KTL-M SG10KTL-M SG10KTL-MT SG12KTL-M SG15KTL-M SG17KTL-M SG20KTL-M RT Series SG80KTL-M SG111HV SG125HV SG125HV-20 SG33CX SG40CX SG50CX SG110CX SG30CX SG36CX-US SG60CX-US SG49.5CX-JP SG25CX-SA SG100CX SG75CX SG225-320HX SG125CX-P2 SG110CX-P2 SG75CX-P2 SG25/30/33/36/40/50CX-P2 SG150CX SG3.0/4.0/5.0/6.0/8.0/9.0/10RS-L SG15/20/25CX-P2-LV,3X,String,V1.1.66,5148,5148,0.01
89,Reserved,5149,U16,0~15000,V,,3X,String,V1.1.66,5149,5149,0.1
90,PID work state,5150,U16,2: PID Recover Operation 4: Anti-PID Operation 8: PID Abnormity,,Valid for inverters: SG5KTL-MT SG6KTL-MT SG8KTL-M SG10KTL-M SG10KTL-MT SG12KTL-M SG15KTL-M SG17KTL-M SG20KTL-M RT Series SG80KTL-M SG125HV SG125HV-20 SG80KTL SG30CX SG33CX SG40CX SG50CX SG110CX SG100CX SG75CX SG136TX SG36CX-US SG60CX-US SG49.5CX-JP SG25CX-SA SG225-320HX SG125CX-P2 SG110CX-P2 SG75CX-P2 SG25/30/33/36/40/50CX-P2 SG150CX SG0.7RS-S SG1.0RS-S SG1.5RS-S SG2.0RS-S SG2.5RS-S SG3.0RS-S SG3.0RS SG3.6RS SG4.0RS SG5.0RS SG6.0RS SG8.0RS SG9.0RS SG10RS SG5.0RS-ADA SG3.0/4.0/5.0/6.0/8.0/9.0/10RS-L,3X,String,V1.1.66,5150,5150,1.0
91,PID alarm code,5151,U16,432:PID resistance abnormal 433:PID function abnormal 434:PID overvoltage/overcurrent protection,,See Appendix 4,3X,String,V1.1.66,5151,5151,1.0
92,Reserved,5152-5185,U16,,,,3X,String,V1.1.66,5152,5185,1.0
93,MPPT 13 voltage,5186,U16,,V,,3X,String,V1.1.66,5186,5186,0.1
94,MPPT 13 current,5187,U16,,A,,3X,String,V1.1.66,5187,5187,0.1
95,MPPT 14 voltage,5188,U16,,V,,3X,String,V1.1.66,5188,5188,0.1
96,MPPT 14 current,5189,U16,,A,,3X,String,V1.1.66,5189,5189,0.1
97,MPPT 15 voltage,5190,U16,,V,,3X,String,V1.1.66,5190,5190,0.1
98,MPPT 16 current,5191,U16,,A,,3X,String,V1.1.66,5191,5191,0.1
99,MPPT 16 voltage,5192,U16,,V,,3X,String,V1.1.66,5192,5192,0.1
100,MPPT 16 current,5193,U16,,A,,3X,String,V1.1.66,5193,5193,0.1
